"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"g:\Projects\AnimovixRecommendations\animovix\context\firebaseContext.js", "JavaScript", -490, 0, -68, -90, -648
"g:\Projects\AnimovixRecommendations\animovix\pages\Anime.jsx", "JavaScript JSX", 0, 276, 21, 20, 317
"g:\Projects\AnimovixRecommendations\animovix\pages\AnimeSeries\[id].jsx", "JavaScript JSX", 0, 146, 4, 13, 163
"g:\Projects\AnimovixRecommendations\animovix\pages\AnimeSeries\index.jsx", "JavaScript JSX", 0, 16, 0, 5, 21
"g:\Projects\AnimovixRecommendations\animovix\pages\Feedback.jsx", "JavaScript JSX", 0, 108, 2, 18, 128
"g:\Projects\AnimovixRecommendations\animovix\pages\Manga.jsx", "JavaScript JSX", 0, 280, 14, 19, 313
"g:\Projects\AnimovixRecommendations\animovix\pages\MangaSeries\[id].jsx", "JavaScript JSX", 0, 146, 7, 14, 167
"g:\Projects\AnimovixRecommendations\animovix\pages\MangaSeries\index.jsx", "JavaScript JSX", 0, 16, 0, 5, 21
"g:\Projects\AnimovixRecommendations\animovix\pages\Movies.jsx", "JavaScript JSX", 0, 278, 14, 19, 311
"g:\Projects\AnimovixRecommendations\animovix\pages\Profile.jsx", "JavaScript JSX", 0, 286, 6, 17, 309
"g:\Projects\AnimovixRecommendations\animovix\pages\_app.js", "JavaScript", 49, 0, 4, 10, 63
"g:\Projects\AnimovixRecommendations\animovix\pages\_document.js", "JavaScript", 26, 0, 2, 4, 32
"g:\Projects\AnimovixRecommendations\animovix\pages\api\hello.js", "JavaScript", 4, 0, 1, 1, 6
"g:\Projects\AnimovixRecommendations\animovix\pages\index.js", "JavaScript", 272, 0, 5, 24, 301
"Total", "-", -139, 1552, 12, 79, 1504